Particle_ID,X_Coord,Y_Coord,Z_Coord
1644,2.96073e+04,2.91089e+04,6.51985e+00
1645,2.95746e+04,2.90700e+04,1.96294e+01
1646,2.95748e+04,2.90704e+04,1.98464e+01
1647,2.96074e+04,2.91086e+04,6.52742e+00
1648,2.94765e+04,2.91250e+04,1.90102e+02
1649,2.94765e+04,2.91309e+04,1.81848e+02
1650,2.95750e+04,2.90707e+04,2.10637e+01
1651,2.96084e+04,2.91084e+04,6.52097e+00
1652,2.94765e+04,2.91311e+04,1.68817e+02
1653,2.96932e+04,2.93288e+04,1.00501e+01
1654,2.94765e+04,2.93139e+04,1.96408e+01
1655,2.94765e+04,2.93857e+04,1.21084e+01
1656,2.94765e+04,2.91608e+04,7.56114e+01
1657,2.94765e+04,2.91143e+04,1.80404e+02
1658,2.96205e+04,2.91747e+04,1.25522e+01
1659,2.96228e+04,2.91785e+04,1.27101e+01
1660,2.94765e+04,2.91925e+04,1.61853e+01
1661,2.94765e+04,2.91679e+04,1.56462e+01
1662,2.94765e+04,2.93446e+04,2.62304e+01
1663,2.94765e+04,2.93651e+04,4.17995e+01
1664,2.96903e+04,2.92979e+04,6.96979e+00
1665,2.94765e+04,2.92801e+04,2.22740e+01
1666,2.97476e+04,2.92762e+04,2.07296e+01
1667,2.94765e+04,2.93651e+04,4.14527e+01
1668,2.96403e+04,2.92797e+04,1.89974e+01
1669,2.96900e+04,2.92610e+04,6.28009e+00
1670,2.96881e+04,2.92811e+04,6.55824e+00
1671,2.96137e+04,2.92398e+04,1.68319e+01
1672,2.94765e+04,2.91854e+04,1.62852e+02
1673,2.96291e+04,2.92387e+04,4.64369e+01
1674,2.96538e+04,2.92792e+04,1.84239e+01
1675,2.96877e+04,2.92818e+04,6.59515e+00
1676,2.96874e+04,2.92845e+04,6.63841e+00
1677,2.96541e+04,2.92790e+04,1.85181e+01
1678,2.94765e+04,2.92153e+04,9.89137e+01
1679,2.94765e+04,2.92162e+04,8.94025e+01
1680,2.96549e+04,2.92785e+04,1.87059e+01
1681,2.96689e+04,2.92981e+04,8.03358e+00
1682,2.96680e+04,2.92986e+04,1.17469e+01
1683,2.94765e+04,2.92413e+04,6.02518e+01
1684,2.96869e+04,2.92839e+04,6.64468e+00
1685,2.96671e+04,2.92991e+04,1.42608e+01
1686,2.96290e+04,2.92787e+04,1.81359e+01
1687,2.94765e+04,2.92732e+04,2.86843e+01
1688,2.96338e+04,2.92912e+04,2.19030e+01
1689,2.94765e+04,2.92420e+04,6.24052e+01
1690,2.94765e+04,2.92919e+04,1.70520e+01
1691,2.94765e+04,2.93324e+04,2.43355e+01
1692,2.94765e+04,2.92692e+04,1.82335e+01
1693,2.94765e+04,2.93054e+04,2.65541e+01
1694,2.97951e+04,2.92432e+04,7.23106e+00
1695,2.96273e+04,2.92927e+04,1.89004e+01
1696,2.97936e+04,2.92420e+04,7.87512e+00
1697,2.97969e+04,2.92447e+04,7.74352e+00
1698,2.94765e+04,2.92934e+04,1.94975e+01
1699,2.98048e+04,2.92558e+04,7.09218e+00
1700,2.98412e+04,2.92455e+04,4.71808e+00
1701,2.94765e+04,2.92975e+04,2.47705e+01
1702,2.98114e+04,2.92880e+04,5.21764e+00
1703,2.98413e+04,2.92457e+04,5.38501e+00
1704,2.94982e+04,2.92501e+04,1.89010e+01
1705,2.94765e+04,2.93278e+04,2.37234e+01
1706,2.94765e+04,2.93321e+04,2.20883e+01
1707,2.94765e+04,2.92903e+04,1.86474e+01
1708,2.98616e+04,2.92921e+04,4.63077e+00
1709,2.94765e+04,2.92749e+04,2.04835e+01
1710,2.94765e+04,2.92918e+04,1.69154e+01
1711,2.96710e+04,2.93180e+04,1.77909e+01
1712,2.94765e+04,2.92971e+04,2.41950e+01
1713,2.94765e+04,2.92943e+04,2.09645e+01
1714,2.94885e+04,2.92541e+04,1.14807e+01
1715,2.94765e+04,2.92877e+04,1.62071e+01
1716,2.96803e+04,2.93261e+04,1.71262e+01
1717,2.96807e+04,2.93267e+04,1.71456e+01
1718,2.96815e+04,2.93281e+04,1.59430e+01
1719,2.96723e+04,2.93128e+04,1.61910e+01
1720,2.96902e+04,2.93398e+04,1.89019e+01
1721,2.96884e+04,2.93367e+04,1.86931e+01
1722,2.94765e+04,2.93137e+04,2.65438e+01
1723,2.94765e+04,2.93341e+04,2.38974e+01
1724,2.96704e+04,2.93095e+04,1.50042e+01
1725,2.96859e+04,2.93328e+04,9.20238e+00
1726,2.96777e+04,2.93338e+04,1.89042e+01
1727,2.96919e+04,2.93550e+04,1.48077e+01
1728,2.96768e+04,2.92655e+04,1.76558e+01
1729,2.96728e+04,2.93135e+04,1.65657e+01
1730,2.96963e+04,2.93502e+04,1.11749e+01
1731,2.94765e+04,2.92937e+04,3.17092e+01
1732,2.96925e+04,2.93562e+04,1.40295e+01
1733,2.94765e+04,2.93083e+04,2.46803e+01
1734,2.94765e+04,2.93016e+04,3.48832e+01
1735,2.96945e+04,2.93516e+04,1.13113e+01
1736,2.96949e+04,2.93522e+04,1.12950e+01
1737,2.94765e+04,2.92792e+04,3.17672e+01
1738,2.94765e+04,2.92788e+04,3.37164e+01
1739,2.95792e+04,2.93664e+04,2.37755e+01
1740,2.94765e+04,2.91973e+04,1.04794e+02
1741,2.97918e+04,2.91003e+04,2.49389e+01
1742,2.98117e+04,2.91960e+04,4.52987e+00
1743,2.97919e+04,2.91003e+04,2.49127e+01
1744,2.98042e+04,2.91637e+04,5.03993e+00
1745,2.98573e+04,2.92039e+04,8.43649e+00
1746,2.98674e+04,2.92068e+04,4.64756e+00
1747,2.98668e+04,2.92090e+04,8.06088e+00
1748,2.98653e+04,2.92146e+04,8.27772e+00
1749,2.98648e+04,2.92162e+04,6.45505e+00
1750,2.97534e+04,2.93252e+04,6.23505e+01
1751,2.97209e+04,2.91038e+04,9.56880e+00
1752,2.98632e+04,2.92221e+04,5.37668e+00
1753,2.98640e+04,2.92194e+04,8.39843e+00
1754,2.97346e+04,2.91254e+04,1.25693e+01
1755,2.94765e+04,2.93646e+04,4.32894e+01
1756,2.97394e+04,2.91364e+04,7.01885e+00
1757,2.98533e+04,2.92195e+04,8.54451e+00
1758,2.94765e+04,2.93650e+04,4.20208e+01
1759,2.94765e+04,2.91890e+04,1.83479e+01
1760,2.94765e+04,2.93099e+04,5.73983e+01
1761,2.97281e+04,2.92813e+04,5.93213e+00
1762,2.94765e+04,2.92382e+04,6.87159e+01
1763,2.94765e+04,2.92266e+04,3.60555e+01
1764,2.97275e+04,2.92819e+04,6.01353e+00
1765,2.97537e+04,2.93251e+04,6.15604e+01
1766,2.97388e+04,2.92753e+04,5.95696e+00
1767,2.94765e+04,2.93631e+04,4.75806e+01
1768,2.97824e+04,2.92240e+04,6.28037e+00
1769,2.94765e+04,2.93653e+04,4.02947e+01
1770,2.97365e+04,2.92762e+04,6.07271e+00
1771,2.96875e+04,2.92996e+04,8.47803e+00
1772,2.97479e+04,2.92763e+04,2.10853e+01
1773,2.94765e+04,2.92737e+04,2.37473e+01
1774,2.96977e+04,2.93531e+04,9.96973e+00
1775,2.94765e+04,2.93879e+04,1.16726e+01
1776,2.94765e+04,2.90974e+04,1.40416e+02
1777,2.96085e+04,2.91089e+04,6.50173e+00
1778,2.94765e+04,2.91024e+04,1.28358e+02
1779,2.94765e+04,2.90767e+04,1.18968e+02
1780,2.94765e+04,2.91852e+04,1.59596e+01
1781,2.94765e+04,2.91873e+04,1.57921e+01
1782,2.96268e+04,2.91633e+04,5.04239e+01
1783,2.95752e+04,2.90710e+04,2.57912e+01
1784,2.95764e+04,2.90730e+04,3.72705e+01
1785,2.94765e+04,2.91857e+04,6.24292e+01
1786,2.94765e+04,2.90909e+04,1.16385e+02
1787,2.94765e+04,2.90850e+04,1.12663e+02
1788,2.94765e+04,2.91403e+04,1.01805e+02
1789,2.94765e+04,2.90806e+04,1.85756e+02
1790,2.94765e+04,2.90947e+04,1.74812e+02
1791,2.96226e+04,2.91782e+04,1.16077e+01
1792,2.94765e+04,2.90777e+04,1.10281e+02
1793,2.94765e+04,2.90763e+04,1.12351e+02
1794,2.95875e+04,2.91217e+04,8.05535e+00
1795,2.94765e+04,2.91310e+04,1.67838e+02
1796,2.94765e+04,2.90814e+04,1.11367e+02
1797,2.95880e+04,2.91226e+04,8.26400e+00
1798,2.94765e+04,2.90767e+04,1.16044e+02
1799,2.94765e+04,2.90794e+04,1.24216e+02
1800,2.95900e+04,2.91258e+04,7.93960e+00
1801,2.94765e+04,2.90767e+04,1.14884e+02
1802,2.94765e+04,2.90842e+04,1.27934e+02
1803,2.96137e+04,2.91637e+04,1.86566e+01
1804,2.94765e+04,2.91904e+04,2.49307e+01
1805,2.98048e+04,2.90983e+04,5.35933e+01
1806,2.96120e+04,2.91610e+04,1.23158e+01
1807,2.94765e+04,2.91590e+04,9.42613e+01
1808,2.94765e+04,2.91583e+04,9.49062e+01
1809,2.94765e+04,2.91686e+04,1.57057e+01
1810,2.94765e+04,2.91981e+04,4.03963e+01
1811,2.98047e+04,2.90982e+04,2.87796e+01
1812,2.95921e+04,2.91293e+04,8.33888e+00
1813,2.94765e+04,2.91991e+04,4.40201e+01
1814,2.94765e+04,2.91992e+04,4.15935e+01
1815,2.95919e+04,2.91289e+04,7.87463e+00
1816,2.98048e+04,2.90983e+04,3.25737e+01
1817,2.98047e+04,2.90982e+04,3.52148e+01
1818,2.94765e+04,2.91911e+04,1.12856e+02
1819,2.94765e+04,2.91808e+04,9.00403e+01
1820,2.94765e+04,2.91984e+04,4.22862e+01
1821,2.94765e+04,2.91901e+04,1.13420e+02
1822,2.98048e+04,2.90983e+04,4.28546e+01
1823,2.94765e+04,2.92053e+04,4.89977e+01
1824,2.94765e+04,2.92096e+04,7.11790e+01
1825,2.94765e+04,2.91588e+04,9.45869e+01
1826,2.94765e+04,2.91933e+04,1.10352e+02
1827,2.94765e+04,2.91651e+04,9.20440e+01
1828,2.94765e+04,2.92116e+04,5.57427e+01
1829,2.98095e+04,2.90913e+04,2.39588e+01
1830,2.94765e+04,2.92083e+04,6.64996e+01
1831,2.94765e+04,2.92131e+04,6.31684e+01
1832,2.98107e+04,2.90933e+04,2.42557e+01
1833,2.94765e+04,2.92129e+04,6.50988e+01
1834,2.96023e+04,2.91166e+04,1.22840e+02
1835,2.94765e+04,2.91954e+04,1.08414e+02
1836,2.94765e+04,2.91938e+04,1.09943e+02
1837,2.94765e+04,2.91791e+04,1.11219e+02
1838,2.96111e+04,2.91069e+04,2.93780e+01
1839,2.94765e+04,2.92127e+04,5.74578e+01
1840,2.95533e+04,2.91223e+04,1.69949e+01
1841,2.98340e+04,2.91330e+04,3.36488e+01
1842,2.98564e+04,2.91594e+04,4.86465e+00
1843,2.98377e+04,2.91378e+04,3.02802e+01
1844,2.94765e+04,2.91971e+04,2.75904e+01
1845,2.98047e+04,2.90977e+04,2.53622e+01
1846,2.98422e+04,2.91452e+04,3.04366e+01
1847,2.98610e+04,2.91744e+04,1.02680e+01
1848,2.98046e+04,2.90978e+04,2.53622e+01
1849,2.94765e+04,2.91862e+04,6.67929e+01
1850,2.94765e+04,2.90788e+04,1.10632e+02
1851,2.94765e+04,2.90760e+04,1.19974e+02
1852,2.94765e+04,2.91803e+04,1.29738e+01
1853,2.94765e+04,2.90847e+04,1.12668e+02
1854,2.94765e+04,2.90757e+04,1.11507e+02
1855,2.94765e+04,2.91312e+04,1.75514e+02
1856,2.94765e+04,2.91034e+04,1.29812e+02
1857,2.94765e+04,2.90786e+04,1.10573e+02
1858,2.94765e+04,2.90913e+04,1.70396e+02
1859,2.96410e+04,2.91862e+04,3.99323e+01
1860,2.94765e+04,2.90768e+04,1.15944e+02
1861,2.94765e+04,2.91307e+04,1.63967e+02
1862,2.95768e+04,2.90737e+04,2.74678e+01
1863,2.94765e+04,2.90795e+04,1.24275e+02
1864,2.95896e+04,2.91242e+04,7.28706e+00
1865,2.95895e+04,2.91248e+04,8.83462e+00
1866,2.98088e+04,2.90956e+04,6.91631e+01
1867,2.94765e+04,2.91744e+04,6.94578e+01
1868,2.95877e+04,2.91220e+04,7.90330e+00
1869,2.94765e+04,2.90819e+04,1.25951e+02
1870,2.96161e+04,2.91676e+04,1.49233e+01
1871,2.96211e+04,2.91757e+04,1.41885e+01
